# X Y Ux Uy Magnitude
755.565 649 0.761505 -0.230455 0.795612
745.344 649 0.751247 -0.229451 0.785506
735.123 649 0.740985 -0.228895 0.775533
724.902 649 0.730443 -0.22878 0.765433
714.68 649 0.7196 -0.229219 0.755225
704.459 649 0.708581 -0.230231 0.745046
694.238 649 0.697431 -0.232098 0.735037
684.016 649 0.686586 -0.234171 0.725422
673.795 649 0.676088 -0.236229 0.716169
663.574 649 0.665918 -0.238044 0.707186
653.352 649 0.655996 -0.239442 0.698329
643.131 649 0.646211 -0.240341 0.689458
632.91 649 0.636456 -0.240732 0.680461
622.688 649 0.626648 -0.240683 0.671279
612.467 649 0.616622 -0.24005 0.6617
602.246 649 0.60647 -0.239234 0.65195
592.024 649 0.59618 -0.23821 0.642008
581.803 649 0.585748 -0.237008 0.631881
571.582 649 0.575235 -0.235644 0.62163
561.36 649 0.564742 -0.234011 0.611305
551.139 649 0.554408 -0.231756 0.600899
868 13.5208 0.868 0.0258112 0.868384
868 27.0417 0.868 0.0193397 0.868215
868 40.5625 0.868 0.0127593 0.868094
868 54.0833 0.868 0.00606548 0.868021
868 67.6042 0.868 -0.00071716 0.868
868 81.125 0.868 -0.00757053 0.868033
868 94.6458 0.868 -0.0144684 0.868121
868 108.167 0.868 -0.0213852 0.868263
868 121.688 0.868 -0.0282867 0.868461
868 135.208 0.868 -0.035146 0.868711
868 148.729 0.868 -0.0419324 0.869012
868 162.25 0.868 -0.0486195 0.869361
868 175.771 0.868 -0.0551863 0.869753
868 189.292 0.868 -0.0616208 0.870185
868 202.812 0.868 -0.0679265 0.870654
868 216.333 0.868 -0.0741063 0.871158
868 229.854 0.868 -0.0802172 0.871699
868 243.375 0.868 -0.0862616 0.872276
868 256.896 0.868 -0.0922806 0.872892
868 270.417 0.868 -0.0983062 0.873549
868 283.938 0.868 -0.104358 0.874251
868 297.458 0.868 -0.110442 0.874998
868 310.979 0.868 -0.116546 0.875789
868 324.5 0.868 -0.12265 0.876622
868 338.021 0.868 -0.128716 0.877492
868 351.542 0.868 -0.134702 0.87839
868 365.062 0.868 -0.140574 0.879309
868 378.583 0.868 -0.146304 0.880244
868 392.104 0.868 -0.151878 0.881187
868 405.625 0.868 -0.157297 0.882137
868 419.146 0.868 -0.162578 0.883094
868 432.667 0.868 -0.16775 0.884061
868 446.188 0.868 -0.172868 0.885047
868 459.708 0.868 -0.177968 0.886057
868 473.229 0.868 -0.183094 0.887101
868 486.75 0.868 -0.188281 0.888186
868 500.271 0.868 -0.193541 0.889315
868 513.792 0.868 -0.198858 0.890488
868 527.312 0.868 -0.204206 0.891697
868 540.833 0.868 -0.209575 0.892942
868 554.354 0.868 -0.215034 0.894239
868 567.875 0.868 -0.220609 0.895596
868 581.396 0.868 -0.226359 0.89703
868 594.917 0.868 -0.232285 0.898543
868 608.438 0.868 -0.238337 0.900127
868 621.958 0.868 -0.244434 0.90176
868 635.479 0.868 -0.250525 0.90343
535.774 0 0.530477 -0.00823199 0.530541
546.491 0 0.540376 -0.00591388 0.540408
557.208 0 0.550345 -0.00510814 0.550369
567.925 0 0.560647 -0.00526921 0.560672
578.642 0 0.571368 -0.0060017 0.5714
589.359 0 0.582527 -0.00699894 0.582569
600.076 0 0.59411 -0.00799303 0.594164
610.793 0 0.606067 -0.00880169 0.606131
621.51 0 0.618287 -0.00900655 0.618353
632.227 0 0.630654 -0.00871416 0.630715
642.944 0 0.64308 -0.00782461 0.643128
653.661 0 0.655467 -0.00637039 0.655498
664.378 0 0.667749 -0.00440138 0.667764
675.094 0 0.679872 -0.00198832 0.679875
685.811 0 0.691762 0.000807254 0.691763
696.528 0 0.703367 0.00386045 0.703378
707.245 0 0.714708 0.00705354 0.714743
717.962 0 0.725752 0.01023 0.725825
728.679 0 0.736538 0.0132994 0.736658
739.396 0 0.747103 0.0161953 0.747279
750.113 0 0.757487 0.0188671 0.757722
760.83 0 0.767733 0.0212822 0.768028
771.547 0 0.777881 0.0234297 0.778234
782.264 0 0.787962 0.0253074 0.788369
792.981 0 0.798004 0.0269438 0.798459
803.698 0 0.808019 0.0283237 0.808515
814.415 0 0.818029 0.0294815 0.81856
825.132 0 0.828028 0.0304111 0.828586
835.849 0 0.838026 0.0311308 0.838604
846.566 0 0.848021 0.0316473 0.848611
857.283 0 0.858017 0.0319774 0.858612
527.551 5.54298 0.520727 -0.0141145 0.520918
529.728 11.2177 0.522026 -0.0155988 0.522259
531.583 17.006 0.523368 -0.0172686 0.523653
533.108 22.8897 0.52462 -0.0190502 0.524966
534.3 28.8499 0.525704 -0.0208972 0.526119
535.153 34.8678 0.526577 -0.0227701 0.527069
535.667 40.9243 0.527214 -0.0246419 0.527789
535.159 59.0813 0.527421 -0.03003 0.528275
533.131 71.0105 0.526033 -0.0332894 0.527085
529.779 82.6374 0.523331 -0.0362037 0.524582
525.146 93.8155 0.519287 -0.0387816 0.520734
519.29 104.404 0.513906 -0.0411774 0.515553
512.284 114.27 0.507245 -0.0435739 0.509113
504.217 123.289 0.499358 -0.0461122 0.501482
495.19 131.348 0.490377 -0.048729 0.492792
485.318 138.344 0.480408 -0.051167 0.483125
474.723 144.19 0.469705 -0.0532755 0.472717
463.541 148.813 0.458491 -0.0548053 0.461755
451.911 152.154 0.44693 -0.0555977 0.450375
439.979 154.171 0.435167 -0.0555917 0.438703
427.898 154.838 0.423328 -0.0548599 0.426868
415.817 154.148 0.411575 -0.0535708 0.415047
403.89 152.108 0.400091 -0.0519674 0.403452
392.266 148.745 0.388972 -0.0503387 0.392215
381.092 144.101 0.378482 -0.0488572 0.381622
370.509 138.235 0.368709 -0.0476974 0.371781
360.65 131.22 0.35969 -0.0466577 0.362704
351.638 123.144 0.351528 -0.0454302 0.354451
343.589 114.11 0.344341 -0.0437036 0.347103
336.602 104.231 0.338127 -0.0413634 0.340647
330.765 93.6309 0.332822 -0.0384376 0.335034
326.153 82.4439 0.328424 -0.035053 0.330289
322.824 70.8107 0.325015 -0.0313003 0.326519
320.818 58.8777 0.322732 -0.0273169 0.323886
320.162 46.7951 0.321647 -0.0232296 0.322484
320.864 34.7151 0.321738 -0.0192172 0.322311
322.915 22.7898 0.322841 -0.0155194 0.323214
326.289 11.1693 0.324614 -0.0123517 0.324849
248.521 0 0.24806 0.000522036 0.24806
260.296 0 0.258829 0.00307519 0.258847
272.07 0 0.26968 0.00384738 0.269707
283.845 0 0.280657 0.00362934 0.28068
295.619 0 0.29166 0.00251309 0.291671
307.394 0 0.302601 0.000345544 0.302601
319.169 0 0.313833 -0.00344889 0.313852
238.198 3.83512 0.236653 -0.00572981 0.236722
239.463 7.73579 0.237024 -0.00675535 0.23712
240.539 11.6929 0.237454 -0.00785991 0.237584
241.422 15.6973 0.23787 -0.00904171 0.238042
242.111 19.7397 0.23822 -0.0102877 0.238442
242.605 23.8106 0.238474 -0.0115873 0.238755
242.901 27.9005 0.238606 -0.0129255 0.238956
242.484 41.3512 0.2379 -0.0174672 0.23854
240.942 50.5888 0.236268 -0.0206116 0.237166
238.394 59.6008 0.233669 -0.0236384 0.234862
234.87 68.2777 0.230151 -0.0264687 0.231668
230.412 76.5142 0.225776 -0.0290184 0.227633
225.075 84.2103 0.220623 -0.0312111 0.22282
218.924 91.2725 0.21476 -0.0330013 0.217281
212.034 97.6153 0.20824 -0.0343576 0.211055
204.487 103.161 0.201106 -0.0353079 0.204182
196.376 107.844 0.193419 -0.0359138 0.196725
187.799 111.605 0.185261 -0.0362667 0.188777
178.861 114.4 0.176716 -0.0364546 0.180437
169.669 116.195 0.167887 -0.0365358 0.171817
160.336 116.968 0.158891 -0.0365367 0.163038
150.974 116.709 0.149852 -0.0364654 0.154225
141.697 115.422 0.14088 -0.0362937 0.14548
132.619 113.122 0.132183 -0.0361908 0.137048
123.848 109.837 0.123895 -0.0359869 0.129016
115.492 105.608 0.116089 -0.0356929 0.121452
107.653 100.485 0.10885 -0.0352178 0.114405
100.424 94.53 0.102275 -0.0344392 0.107918
93.8943 87.8163 0.0964429 -0.0332685 0.10202
88.1428 80.4249 0.0913924 -0.0316691 0.0967238
83.2395 72.4458 0.0871263 -0.0296561 0.0920352
79.2437 63.9756 0.0836763 -0.0272778 0.0880102
76.204 55.1172 0.0809995 -0.0246166 0.0846575
74.1572 45.9782 0.07916 -0.0217683 0.0820985
73.1284 36.6695 0.0781442 -0.018771 0.0803671
73.1298 27.3042 0.0779463 -0.0157258 0.0795168
74.1616 17.9958 0.0785006 -0.0127614 0.0795311
76.2111 8.85742 0.0795927 -0.0100681 0.080227
9.9067 0 0.0105554 5.50697e-05 0.0105555
19.8134 0 0.0210438 0.000155841 0.0210444
29.7201 0 0.0313983 0.000256144 0.0313993
39.6268 0 0.0415515 0.000243133 0.0415522
49.5335 0 0.0514409 -6.13066e-05 0.0514409
59.4402 0 0.0609972 -0.000954922 0.0610047
69.3469 0 0.0704529 -0.00310262 0.0705212
363.761 198.438 0.358704 -0.0694384 0.365363
362.178 207.757 0.357569 -0.0716027 0.364668
359.561 216.84 0.355451 -0.0735859 0.362988
355.944 225.573 0.352316 -0.0753819 0.36029
351.371 233.846 0.348173 -0.0770139 0.356588
345.902 241.555 0.34306 -0.0785409 0.351936
339.603 248.603 0.337029 -0.0800266 0.3464
332.555 254.902 0.33015 -0.0815013 0.340061
324.846 260.371 0.322523 -0.0829137 0.33301
316.573 264.944 0.314272 -0.0842825 0.325378
307.84 268.561 0.305559 -0.0855564 0.317311
298.757 271.178 0.296522 -0.0867252 0.308944
289.438 272.761 0.287299 -0.0877982 0.300415
280 273.291 0.278024 -0.0887993 0.29186
270.562 272.761 0.268808 -0.0897516 0.283396
261.243 271.178 0.259758 -0.0906654 0.275126
252.16 268.561 0.251041 -0.091457 0.267181
243.427 264.944 0.242698 -0.0919849 0.259545
235.154 260.371 0.234874 -0.0920871 0.252281
227.445 254.902 0.227709 -0.0916392 0.245457
220.397 248.603 0.221285 -0.0906011 0.239114
214.098 241.555 0.215596 -0.0890246 0.233253
208.629 233.846 0.210621 -0.0870005 0.227882
204.056 225.573 0.206375 -0.0846123 0.223046
200.439 216.84 0.202941 -0.0819181 0.218851
197.822 207.757 0.200376 -0.0789948 0.215385
196.239 198.438 0.198799 -0.0759327 0.212807
195.709 189 0.198269 -0.0727844 0.211207
196.239 179.562 0.198834 -0.0696228 0.210672
197.822 170.243 0.200489 -0.0665241 0.211238
200.439 161.16 0.203197 -0.0635541 0.212904
204.056 152.427 0.206884 -0.0607758 0.215627
208.629 144.154 0.211444 -0.0582908 0.219332
214.098 136.445 0.216814 -0.0561726 0.223973
220.397 129.397 0.222893 -0.0544453 0.229446
227.445 123.098 0.229624 -0.05312 0.235688
235.154 117.629 0.236958 -0.0521651 0.242632
243.427 113.056 0.244832 -0.0515184 0.250194
252.16 109.439 0.253183 -0.0510965 0.258287
261.243 106.822 0.261947 -0.0508706 0.266841
270.562 105.239 0.27106 -0.0506979 0.275761
280 104.709 0.280267 -0.0506838 0.284813
289.438 105.239 0.289442 -0.0508093 0.293868
298.757 106.822 0.298471 -0.0510044 0.302798
307.84 109.439 0.307218 -0.0512372 0.311461
316.573 113.056 0.315562 -0.0514955 0.319736
324.846 117.629 0.323399 -0.051828 0.327526
332.555 123.098 0.330617 -0.0523298 0.334733
339.603 129.397 0.337102 -0.0531604 0.341268
345.902 136.445 0.342756 -0.0543666 0.347041
351.371 144.154 0.347534 -0.0559576 0.35201
355.944 152.427 0.351431 -0.0578619 0.356162
359.561 161.16 0.354489 -0.0600011 0.359531
362.178 170.243 0.356752 -0.0622877 0.362149
363.761 179.562 0.358228 -0.0646676 0.364018
728.091 148.714 0.718181 -0.0534476 0.720167
726.293 159.294 0.716336 -0.0571511 0.718612
723.322 169.605 0.713291 -0.0609118 0.715887
719.216 179.519 0.709112 -0.0647041 0.712058
714.025 188.911 0.703844 -0.0684533 0.707165
707.815 197.663 0.697573 -0.0720677 0.701286
700.665 205.665 0.690428 -0.075428 0.694536
692.663 212.815 0.682615 -0.0783434 0.687096
683.911 219.025 0.674305 -0.0806767 0.679114
674.519 224.216 0.665602 -0.0823231 0.670673
664.605 228.322 0.656432 -0.0832007 0.661684
654.294 231.293 0.646523 -0.0832442 0.65186
643.714 233.091 0.636587 -0.0826978 0.641937
633 233.692 0.626484 -0.0815739 0.631773
622.286 233.091 0.615972 -0.0799751 0.621142
611.706 231.293 0.605656 -0.078373 0.610706
601.395 228.322 0.595684 -0.0769513 0.600634
591.481 224.216 0.586228 -0.0757032 0.591096
582.089 219.025 0.57736 -0.0746351 0.582164
573.337 212.815 0.56915 -0.0735988 0.573889
565.335 205.665 0.561703 -0.0724511 0.566356
558.185 197.663 0.555109 -0.0710304 0.559635
551.975 188.911 0.549435 -0.0692715 0.553785
546.784 179.519 0.544699 -0.0671452 0.548822
542.678 169.605 0.540894 -0.0647287 0.544754
539.707 159.294 0.537971 -0.062089 0.541542
537.909 148.714 0.535947 -0.0593153 0.539219
537.308 138 0.53488 -0.0565015 0.537856
537.909 127.286 0.534865 -0.0537365 0.537557
539.707 116.706 0.536012 -0.0511202 0.538444
542.678 106.395 0.538411 -0.0487326 0.540612
546.784 96.4807 0.54207 -0.0465629 0.544067
551.975 87.0887 0.546914 -0.0445627 0.548727
558.185 78.3369 0.552972 -0.0425838 0.55461
565.335 70.3354 0.560157 -0.0405588 0.561623
573.337 63.1848 0.56832 -0.0385721 0.569628
582.089 56.9751 0.57731 -0.0367283 0.578477
591.481 51.7843 0.586942 -0.0351411 0.587993
601.395 47.6777 0.59704 -0.0338509 0.597999
611.706 44.707 0.607437 -0.0328427 0.608324
622.286 42.9095 0.618012 -0.0320578 0.618843
633 42.3078 0.628608 -0.0314048 0.629392
643.714 42.9095 0.639101 -0.0308471 0.639845
654.294 44.707 0.64936 -0.0304266 0.650072
664.605 47.6777 0.659245 -0.0301925 0.659936
674.519 51.7843 0.668642 -0.0301898 0.669323
683.911 56.9751 0.677458 -0.0304743 0.678143
692.663 63.1848 0.685589 -0.0310928 0.686294
700.665 70.3354 0.692996 -0.0321395 0.693741
707.815 78.3369 0.699602 -0.0336062 0.700408
714.025 87.0887 0.70534 -0.0354825 0.706232
719.216 96.4807 0.710144 -0.0377379 0.711146
723.322 106.395 0.713951 -0.0403377 0.715089
726.293 116.706 0.716704 -0.0432441 0.718008
728.091 127.286 0.718348 -0.046416 0.719846
567.221 290.954 0.561934 -0.103382 0.571365
565.384 301.771 0.560578 -0.106446 0.570595
562.346 312.313 0.55786 -0.109546 0.568513
558.148 322.45 0.553821 -0.112678 0.565167
552.841 332.052 0.548532 -0.115812 0.560625
546.492 341 0.542111 -0.118875 0.554992
539.181 349.181 0.534694 -0.121781 0.548387
531 356.492 0.526469 -0.124367 0.540959
522.052 362.841 0.517618 -0.126493 0.53285
512.45 368.148 0.508295 -0.128014 0.524167
502.313 372.346 0.498595 -0.128848 0.514974
491.771 375.384 0.488573 -0.128988 0.505313
480.954 377.221 0.478312 -0.128499 0.495272
470 377.837 0.467938 -0.127533 0.485006
459.046 377.221 0.457585 -0.126284 0.474691
448.229 375.384 0.447338 -0.124894 0.464446
437.687 372.346 0.43736 -0.123575 0.454483
